Time,Links,Qiymetler,Valyuta,Yer,Məlumat,Paylaşılma vaxtı,Scrape Vaxtı,Təmirli?,Çıxarış?,Ipoteka?,Elanın_Nömrəsi,Otaq_Sayı,Sahə,Mərtəbə_raw,Mərtəbə,BinadaMaxMərtəbə,AZN/m²
2023-03-23 00:00:00,https://bina.az/items/3288674,290000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
157 m²
10/16 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli deyil,Çıxarış var,İpoteka var,3288674,3,157.0,10/16,10.0,16.0,1847.1337579617837
2023-03-23 00:00:00,https://bina.az/items/3364911,138000.0,AZN,Nəriman Nərimanov m.,"2 otaqlı
62 m²
3/17 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli,Çıxarış var,İpoteka var,3364911,2,62.0,3/17,3.0,17.0,2225.8064516129034
2023-03-23 00:00:00,https://bina.az/items/3364871,275000.0,AZN,Nəriman Nərimanov m.,"4 otaqlı
215 m²
6/16 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,3364871,4,215.0,6/16,6.0,16.0,1279.0697674418604
2023-03-23 00:00:00,https://bina.az/items/3364827,379000.0,AZN,Nəriman Nərimanov m.,"3 otaqlı
130 m²
3/17 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli,Çıxarış yoxdur,İpoteka yoxdur,3364827,3,130.0,3/17,3.0,17.0,2915.3846153846152
2023-03-23 00:00:00,https://bina.az/items/3364844,175000.0,AZN,Nərimanov r.,"2 otaqlı
70 m²
14/19 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli,Çıxarış yoxdur,İpoteka yoxdur,3364844,2,70.0,14/19,14.0,19.0,2500.0
2023-03-23 00:00:00,https://bina.az/items/3052710,1100000.0,AZN,Nəriman Nərimanov m.,"5 otaqlı
310 m²
9/12 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli,Çıxarış var,İpoteka yoxdur,3052710,5,310.0,9/12,9.0,12.0,3548.3870967741937
2023-03-23 00:00:00,https://bina.az/items/3364809,188000.0,AZN,Nəriman Nərimanov m.,"2 otaqlı
91 m²
13/15 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli,Çıxarış var,İpoteka yoxdur,3364809,2,91.0,13/15,13.0,15.0,2065.934065934066
2023-03-23 00:00:00,https://bina.az/items/3292501,278000.0,AZN,28 May m.,"3 otaqlı
140 m²
10/13 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli deyil,Çıxarış yoxdur,İpoteka yoxdur,3292501,3,140.0,10/13,10.0,13.0,1985.7142857142856
2023-03-23 00:00:00,https://bina.az/items/3364758,270999.0,AZN,Nərimanov r.,"4 otaqlı
215 m²
6/17 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli deyil,Çıxarış var,İpoteka var,3364758,4,215.0,6/17,6.0,17.0,1260.460465116279
2023-03-23 00:00:00,https://bina.az/items/3364755,253000.0,AZN,Gənclik m.,"3 otaqlı
115 m²
9/17 mərtəbə","Bakı, 23 mart 2023",16/04/2023 23:26,Təmirli,Çıxarış yoxdur,İpoteka yoxdur,3364755,3,115.0,9/17,9.0,17.0,2200.0
